"","cowcode","year","expend_security_EXP","expenddefence_EXP","exp_public_order_EXP","wagessalaries_EXP","pensions_EXP","total_welfare_EXP","education_EXP","health_EXP","social_protection_EXP","housing_EXP","owelfarespend_EXP"
"57",40,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",40,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",40,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",40,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",40,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",40,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",40,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",40,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",40,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",40,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",40,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",40,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",40,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",40,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",40,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",40,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",40,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",40,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",40,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",40,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",40,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",40,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",40,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",40,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",40,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",40,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",40,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",40,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",40,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",40,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",40,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",40,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",40,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",40,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",41,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",41,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",41,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",41,1949,0.213290467858315,0.161843508481979,0.051446944475174,NA,NA,0.191854238510132,0.106109321117401,0.0825294777750969,0.00321543402969837,NA,NA
"95",41,1950,0.199251636862755,0.151543498039246,0.0477081388235092,NA,NA,0.179607108235359,0.0991580933332443,0.0776426568627357,0.00280636106617749,NA,NA
"96",41,1951,0.215958371758461,NA,NA,NA,NA,0.191673889756203,NA,NA,NA,NA,0.191673889756203
