"","cowcode","year","expend_security_p","expenddefence_p","exp_public_order_p","wagessalaries_p","total_welfare_p","education_p","health_p","social_protection_p","housing_p"
"1",31,1978,0.118154370099813,0.251039090719114,-0.124884332920121,0.961904761904762,-0.0396552670533606,0.118344230655029,0.0268246928498998,-0.122421368495132,-0.0658124332632401
"2",31,1979,-0.125006437190522,-0.0230646063922831,-0.10858549212806,0.961089494163424,0.201607156182177,0.20289877794943,0.0532555809160173,-0.0266501634367802,-0.105160584988253
"3",31,1980,-0.119745404421431,-0.0625929362056574,-0.0722291435631738,0.955574182732607,0.162438998264109,0.12584271986869,0.0236933141141969,0.00219191295225771,-0.0421297655128173
"4",31,1981,-0.0125856979753863,0.0332954446345682,-0.0545373873850022,0.951841359773371,0.124627844984338,0.158486523202338,0.00954981465106283,-0.143216741543533,-0.0431367399453404
"5",31,1982,0.192463883183966,0.316983352444527,-0.132929901929436,0.951885565669701,-0.0148077592177183,-0.00265849941204088,-0.0103110631396145,-0.0879731126872898,0.00687500030923192
"6",31,1983,0.172552182193379,0.250463330328161,-0.0833369116580853,0.940214326001128,-0.0759312046731184,-0.0050684178855693,-0.0269909237651436,-0.051861418627593,-0.0451740193019943
"7",31,1984,-0.00896756109011324,0.0778918282626827,-0.0968560200985478,0.94655704008222,0.0405045655515797,-0.00515902617890074,0.0136678086445561,0.0424764165858606,-0.0129172024001772
"8",31,1985,0.200703871273651,0.284639613919175,-0.0901261079412873,0.95435092724679,-0.069266862389916,0.0432382427670094,-0.0190173422116655,-0.141538078800331,-0.0186052863872357
"9",31,1986,-0.0417940064321708,0.0359570197658245,-0.0845144667156614,0.95608417200366,0.0911781561979637,0.102465529980321,0.0517941193797091,-0.0124080523423832,-0.0480553119721684
"10",31,1987,-0.0198787999245759,0.094626619041776,-0.125700651651485,0.957032833400892,0.131517976209033,0.135494242507229,0.0434038567387292,-0.0909630424724616,-0.0214911238647386
"11",31,1988,-0.0616295391930696,0.0630924148318193,-0.131626345263756,0.95477004941087,0.108969018171105,0.0521719679112997,0.028562915392868,-0.0375013099838693,0.0226616227281189
"12",31,1989,-0.0101949326520532,0.0612539005438592,-0.0722303741902404,0.953151911815363,0.0907487255585566,-0.0319669259949594,0.0680103681350845,-0.0397210494532078,0.0687448957766823
"13",31,1990,-0.13439176633033,-0.107269308907692,-0.0218793431750877,0.964388835418672,0.199975827087815,0.142762922492111,0.134792039262741,-0.0956247947614924,-0.0556731252326101
"14",31,1991,0.166280435766695,0.256824346977804,-0.100716816748627,0.942493005906124,-0.0315851873780393,0.1008873646789,-0.00955008790211831,-0.0918665545781464,-0.0481218420839882
"15",31,1992,-0.140913226332868,-0.0416086830021053,-0.0970626221195878,0.936073059360731,0.202872103928271,0.0921556174083086,0.066872861733645,-0.0208374737355787,0.0243076834535561
"16",31,1993,0.0774252188374961,0.154279804508957,-0.0750579127064958,0.924140049140049,0.0870381513995307,-0.0335698673747791,0.0319719780272248,-0.0214417445473155,-0.00628686140656793
"17",31,1994,-0.0987914050825527,-0.0687360839509927,-0.0325605442290151,0.917461182239172,0.132381693259565,0.0652220248474801,0.0358351623566873,-0.0610021020108805,0.0483798368002899
"18",31,1995,0.0929373772688369,0.0843457545157608,-0.00759064704550456,0.915713905876097,-0.0293241039435378,0.0379758950182479,0.0268851934202674,-0.0146580971733874,-0.0674487905857675
"19",31,1996,0.0593822392440102,0.209275139983756,-0.1447929994178,1,0.0154043720719874,0.00915925729620945,-0.00330287661910471,-0.00607879422085329,-0.0418612536441543
"20",31,1997,-0.0398096143316796,0.0607540245792186,-0.0969779762382534,1,0.0381983247726076,0.0886720789363268,0.045233007238125,-0.020181303896219,-0.0426644634616455
"21",31,1998,-0.0458938929283467,0.106652286828209,-0.174108779866214,1,0.110804053176313,0.0956990913656539,0.023079684989498,0.0453623499547231,-0.0364277795274214
"22",31,1999,-0.089544341592922,-0.0218409117886077,-0.0700711005354743,1,0.140272501307675,0.0271419174104526,0.0583377688252666,0.0196590707576379,-0.0182040585237294
"23",31,2000,-0.344222531189689,-0.321274438352745,-0.0347326576407706,1,0.265819923927782,0.115507529924733,0.0944303074334423,0.0486183233376917,0.00960853009725092
"24",31,2001,0.0423713894261708,0.113750913595799,-0.0672283266531173,1,0.0371150664544613,0.0853628762545813,0.0496165851756583,-0.0906011373620076,-0.0540976835555988
"25",31,2002,0.0748467382102219,0.197084745900652,-0.114221182673057,1,0.013599753077652,0.049991127835242,-0.0243208516580115,-0.0408922683822304,-0.0430248739340649
"26",31,2003,0.0511662004344171,0.0765122588636601,-0.0352193051368035,1,-0.016487757063819,0.0628428540218884,0.0252371921351797,-0.086570367647707,-0.00828767749122276
"27",31,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",31,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",31,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",40,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",40,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",40,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",40,1949,0.212540716612378,0.160830618892508,0.0517100977198697,-0.0570205871961244,0.287459283387622,0.206840390879479,0.0806188925081433,0.0320299261667263,0.0470795084445662
"34",40,1950,0.207822085889571,0.156441717791411,0.0513803680981595,-0.110757200815734,0.292177914110429,0.210506134969325,0.0816717791411043,0.058262999343317,0.0363736364645834
