"","cowcode","year","expend_security_EXP","expenddefence_EXP","exp_public_order_EXP","wagessalaries_EXP","total_welfare_EXP","education_EXP","health_EXP","social_protection_EXP","housing_EXP","owelfarespend_EXP"
"6308",780,2002,0.16468434035778,0.0699860507604043,0.0937359514651864,0.228028818964958,0.312721788883209,0.0955469608306885,0.064058318734169,0.122521452605724,0.00900005642324686,0.021594999358058
"6309",780,2003,0.156510040163994,0.14905243682756,0.00752837786232383,0.223982512950897,0.302604794502258,0.0954556316137314,0.0670502856373787,0.113938629627228,0.00792860612273216,0.0182316452264786
"6310",780,2004,0.155130580067635,0.179811927396123,-0.0247863648450864,0.224266871809959,0.352376520633698,0.0894220545887947,0.072692908346653,0.15429000556469,0.0143531477078795,0.0216184258460999
"6311",780,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6312",780,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6313",781,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6314",781,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6315",781,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6316",781,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6317",781,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6318",781,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6319",781,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6320",781,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6321",781,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6322",781,1974,0.0904977396130562,0.0171896176176182,0.0904977396130562,0.421699458943004,0.528859788553691,0.270354634510205,0.182374171655014,0.0535419219945045,0.0278460485352295,0.289067614800151
"6323",781,1975,0.0802919715642929,0.0172280528553864,0.0802919715642929,0.443199247545894,0.472149989021667,0.178653261411635,0.12235028976184,0.123666394899662,0.0537515655650375,0.204804890559081
"6324",781,1976,0.200026917073555,0.114684766600305,0.0840336158871651,0.371141228590513,0.332163860100267,0.175107840048799,0.0950749984237037,-0.00483177885359424,0.0772007552936708,0.1199962545026
"6325",781,1977,0.0598958320915699,0.00681610652608125,0.0598958320915699,0.362900585744561,0.117395833134651,0.0786718726158142,0.0387239567935467,0.029592500213138,-0.00548676055161209,0.00756214447457969
"6326",781,1978,0.0603448264300823,0.010436318258116,0.0603448264300823,0.355776966387049,0.330287165805399,0.141455466702088,0.0694352592775369,0.0414191892584598,0.0690305899814499,0.123548791971113
"6327",781,1979,0.095238097012043,0.0134817428759719,0.095238097012043,0.223443225026131,0.294871807098389,0.0604395605623722,0.0457875467836857,0.0604395605623722,0.145081411497662,0.128205135464668
"6328",781,1980,0.0531609207391739,0.00163570994352835,0.0531609207391739,0.122126437723637,0.159482762217522,0.0344827584922314,0.0258620698004961,0.0301724132150412,0.0723487777973285,0.0689655169844627
"6329",781,1981,0.0925069376826286,0.00598803704798048,0.0925069376826286,0.207215547561646,0.278445869684219,0.0823311731219292,0.04532840102911,0.0388529151678085,0.0838523091044662,0.111933395266533
"6330",781,1982,0.0800561830401421,0.0106885197236856,0.0800561830401421,0.197331458330154,0.427668541669846,0.0849719122052193,0.0582865178585052,0.19311797618866,0.0735338702337475,0.0912921354174614
"6331",781,1983,0.0705352649092674,0.0160318408112596,0.0705352649092674,0.179089546203613,0.35217610001564,0.0750375166535378,0.0380190089344978,0.0740370154380798,0.160579827855119,0.165082544088364
"6332",781,1984,0.0810674726963043,0.0135402023432659,0.0810674726963043,0.201913386583328,0.359013080596924,0.0986908376216888,0.0458207465708256,0.0377643518149853,0.15520611570129,0.176737159490585
"6333",781,1985,0.092630498111248,0.000515661708553411,0.092630498111248,0.234390988945961,0.392528146505356,0.114124871790409,0.0552712380886078,0.0358239524066448,0.143746128313874,0.187308087944984
"6334",781,1986,0.0703175663948059,0.00585423743344357,0.0703175663948059,0.162022039294243,0.235904082655907,0.0771224871277809,0.040181465446949,0.0243033058941364,0.0844305943302145,0.0942968279123306
"6335",781,1987,0.0721559524536133,-0.00923273092569013,0.0721559524536133,0.165260404348373,0.267675310373306,0.0901949405670166,0.101542040705681,0.0354960709810257,0.0454684300456437,0.0404422469437122
"6336",781,1988,0.0820951908826828,-0.00917855753719227,0.0820951908826828,0.195920422673225,0.416267931461334,0.10047847032547,0.128179296851158,0.0412994213402271,0.115611600479102,0.146310746669769
"6337",781,1989,0.104039758443832,-0.00196065161814246,0.104039758443832,0.155177935957909,0.385219633579254,0.162391796708107,0.0673292726278305,0.0288554020226002,0.129125219706908,0.126643151044846
"6338",781,1990,0.11023835092783,-0.0149743351199709,0.11023835092783,0.155606716871262,0.329902499914169,0.106717228889465,0.15465871989727,0.0186890568584204,0.0430766735581468,0.0498374849557877
"6339",781,1991,0.0796208530664444,-0.01056750627145,0.0796208530664444,0.152606636285782,0.352606624364853,0.166824638843536,0.12322274595499,0.0199052132666111,0.0483739504129764,0.0426540300250053
"6340",781,1992,0.0916959494352341,-0.00823695618515166,0.0916959494352341,0.12306110560894,0.288799375295639,0.142942845821381,0.0896392166614532,0.0146542116999626,0.0554305732665252,0.0415631160140038
"6341",781,1993,0.0973887965083122,-0.00773913473613463,0.0973887965083122,0.12251403927803,0.30992865562439,0.161378473043442,0.0751480162143707,0.0179899800568819,0.0408701463710963,0.0554121769964695
"6342",781,1994,0.0965009182691574,-0.00561761628215807,0.0965009182691574,0.13620625436306,0.324640870094299,0.156316757202148,0.0948802977800369,0.0320441983640194,0.0323246209740616,0.0413996316492558
"6343",781,1995,0.0922109708189964,0.00179412988082747,0.0922109708189964,0.135172888636589,0.307078808546066,0.130108281970024,0.100186288356781,0.030329491943121,0.0400781686469797,0.046454768627882
"6344",781,1996,0.104691006243229,-0.0117397976518916,0.104691006243229,0.14728818833828,0.340127617120743,0.145693019032478,0.112725980579853,0.0282405763864517,0.0510910331336927,0.0534680373966694
"6345",781,1997,0.102586604654789,-7.41137492663302e-05,0.102586604654789,0.13934637606144,0.387216687202454,0.164386391639709,0.109453253448009,0.0343332141637802,0.0813577004796281,0.079043835401535
"6346",781,1998,0.108046740293503,-0.00554375767745005,0.108046740293503,0.204172387719154,0.470079004764557,0.204408913850784,0.106059886515141,0.0337291248142719,0.127672140032326,0.12588107585907
"6347",781,1999,0.119363501667976,-0.00344221462863223,0.119363501667976,0.201170384883881,0.409996390342712,0.180688604712486,0.103972099721432,0.0280572362244129,0.0832488137265623,0.0972784459590912
"6348",781,2000,0.12460308521986,-0.00490200879689009,0.12460308521986,0.233950138092041,0.416256070137024,0.197525456547737,0.109201066195965,0.0281032156199217,0.0654516844533576,0.0814263299107552
